Date,Adj Close,Close,High,Low,Open,Volume
05/06/2015,549.5300293,549.5300293,553.3300171,547.3800049,552,1219800
08/06/2015,543.4799805,543.4799805,549.8699951,542.9500122,549.6099854,1366800
09/06/2015,542.1599731,542.1599731,544.8400269,538.8499756,543.4199829,1500800
10/06/2015,552.5999756,552.5999756,554.7800293,545.1099854,545.7000122,1515800
11/06/2015,550.039978,550.039978,554.8300171,549.1699829,554.4899902,1293600
12/06/2015,547.4699707,547.4699707,548.8499756,545.6300049,547.1500244,1273400
15/06/2015,543,543,544.0499878,539.210022,542.7299805,1357500
16/06/2015,544.8699951,544.8699951,546.6900024,541.5700073,544.4799805,1626300
17/06/2015,546.5999756,546.5999756,548.3599854,541.8099976,545.4199829,1222000
18/06/2015,556.1799927,556.1799927,557.25,548,548,2059600
19/06/2015,557.5200195,557.5200195,557.9099731,552.2600098,556.5200195,2964500
22/06/2015,559.6799927,559.6799927,565.6099854,558.9099731,559.4099731,1737600
23/06/2015,563.3900146,563.3900146,564.9000244,557.1500244,559.789978,1569800
24/06/2015,558.5700073,558.5700073,562.6400146,556.8099976,562.4799805,1446200
25/06/2015,557.9500122,557.9500122,563.1400146,557.460022,560.2999878,1334200
26/06/2015,553.0599976,553.0599976,560,551.8499756,559.710022,2183800
29/06/2015,541.25,541.25,550.9000244,540.2399902,546.75,1887800
30/06/2015,540.039978,540.039978,545.9000244,539.539978,545.0900269,1725500
01/07/2015,543.2999878,543.2999878,545.8099976,539.7600098,543.6599731,1538000
02/07/2015,547.3400269,547.3400269,548,543.5700073,544.7399902,1406200
06/07/2015,545.6199951,545.6199951,548.5800171,542.0999756,542.25,1280700
07/07/2015,550.0300293,550.0300293,551,539.8499756,547.4299927,1678900
08/07/2015,541.7000122,541.7000122,548.2800293,541.2000122,545.5999756,1383100
09/07/2015,544.6500244,544.6500244,548.8800049,544.6199951,548.6500244,1488300
10/07/2015,556.1099854,556.1099854,559.289978,552,553.710022,2171800
13/07/2015,571.7299805,571.7299805,572.8499756,558.7000122,559.5100098,2089600
14/07/2015,584.1799927,584.1799927,589.710022,574.1699829,574.5,3741600
15/07/2015,583.960022,583.960022,588.6900024,580.210022,583.7399902,2073300
16/07/2015,601.7800293,601.7800293,604.5,587.9199829,589.5,5632100
17/07/2015,699.6199951,699.6199951,703,678,680,12858100
20/07/2015,692.8400269,692.8400269,697.7999878,681.7700195,688.9799805,5121800
21/07/2015,695.3499756,695.3499756,705.5999756,684.1500244,684.8800049,3780200
22/07/2015,695.0999756,695.0999756,713.3300171,691.6199951,694.0200195,4155000
23/07/2015,674.7299805,674.7299805,696.0700073,671.5900269,691.8499756,3811600
24/07/2015,654.7700195,654.7700195,677.789978,653.1799927,676.7700195,4131100
27/07/2015,658.2700195,658.2700195,667.0700073,651.5499878,651.5700073,2919100
28/07/2015,659.6599731,659.6599731,664.0999756,653.4099731,661.7600098,1718200
29/07/2015,661.4299927,661.4299927,663.3300171,652.8400269,662.2600098,1837800
30/07/2015,664.5599976,664.5599976,668.0499878,651.6900024,657.4400024,1980300
31/07/2015,657.5,657.5,665,657.2000122,664.7000122,1746100
03/08/2015,664.7199707,664.7199707,666.6699829,657.6599731,657.6599731,1567400
04/08/2015,661.2800293,661.2800293,668,660.5100098,664.3400269,1309400
05/08/2015,673.289978,673.289978,679.9099731,665.5800171,665.75,1822400
06/08/2015,670.1500244,670.1500244,674.75,660.7299805,673.9899902,2033000
07/08/2015,664.3900146,664.3900146,668.7999878,658.8699951,667.7800293,1377200
10/08/2015,663.1400146,663.1400146,671.6199951,660.2299805,667.0900269,1722900
11/08/2015,690.2999878,690.2999878,704,684.3200073,699.5800171,5494000
12/08/2015,691.4699707,691.4699707,696,680.5100098,694.4899902,2924900
13/08/2015,686.5100098,686.5100098,694.0300293,682.1799927,689.2000122,1817700
14/08/2015,689.3699951,689.3699951,692.2600098,682.9000244,684.039978,1379900
17/08/2015,694.1099854,694.1099854,694.7399902,683.0599976,688.039978,1234000
18/08/2015,688.7299805,688.7299805,695.7600098,685.3200073,691.0700073,1385500
19/08/2015,694.039978,694.039978,700.2000122,686.7999878,690.1099854,2509700
20/08/2015,679.4799805,679.4799805,696.1599731,675.2800293,689.0999756,2889900
21/08/2015,644.0300293,644.0300293,672.8900146,643.0999756,671.039978,4594000
24/08/2015,618.1099854,618.1099854,627.6799927,593.0900269,600.5999756,6489400
25/08/2015,612.4699707,612.4699707,647,611.6699829,646.4699707,3571500
26/08/2015,659.7399902,659.7399902,662.4799805,630.3699951,643.0999756,4387000
27/08/2015,667.960022,667.960022,673.9799805,651.0999756,671.9899902,2948700
28/08/2015,659.6900024,659.6900024,667,653.75,665.7600098,1941800
31/08/2015,647.8200073,647.8200073,664.4099731,646.3499756,654.3400269,1946800
01/09/2015,629.5599976,629.5599976,644.4400024,625.0599976,633.8099976,2572900
02/09/2015,644.9099731,644.9099731,645.0599976,630.6400146,638,1881500
03/09/2015,637.0499878,637.0499878,651.25,633.8099976,647.9299927,1728600
04/09/2015,628.960022,628.960022,634.5,626.5,629.7000122,2023900
08/09/2015,643.8800049,643.8800049,645.039978,632.9000244,641,1954600
09/09/2015,643.4099731,643.4099731,657.3599854,640.9000244,651.8800049,2048900
10/09/2015,651.0800171,651.0800171,654.9000244,641.7000122,643.9000244,1392500
11/09/2015,655.2999878,655.2999878,655.3099976,647.4099731,650.210022,1744600
14/09/2015,652.4699707,652.4699707,655.9199829,649.5,655.6300049,1497100
15/09/2015,665.0700073,665.0700073,668.8499756,653.3400269,656.710022,1777300
16/09/2015,665.5200195,665.5200195,668.0700073,662.2000122,665.5499878,1312600
17/09/2015,671.6699829,671.6699829,681.9899902,665,667.4899902,2387600
18/09/2015,660.9199829,660.9199829,669.8400269,660.0300293,665.0599976,3627200
21/09/2015,666.9799805,666.9799805,669,658,665.5100098,1954700
22/09/2015,653.2000122,653.2000122,658.8200073,645.0300293,657.4699707,2718100
23/09/2015,653.289978,653.289978,660.2800293,650.7299805,652.9000244,1458000
24/09/2015,654.9099731,654.9099731,656.7700195,642.1699829,648.9699707,1934600
25/09/2015,640.1500244,640.1500244,658.5800171,639.6599731,658.5800171,2424000
28/09/2015,624.25,624.25,642.8499756,617.8400269,639.0499878,2382300
29/09/2015,622.6099854,622.6099854,634.6799927,618.0300293,625.5,2106500
30/09/2015,638.3699951,638.3699951,639.3099976,629.1500244,631.8300171,2647700
01/10/2015,642,642,643.8400269,631.1199951,637.9400024,2125300
02/10/2015,656.9899902,656.9899902,657,633.5,638.0100098,2439400
05/10/2015,671.6799927,671.6799927,673.0300293,655.8699951,661.5999756,1898000
06/10/2015,671.6400146,671.6400146,678.7999878,663.0800171,669.3499756,2138700
07/10/2015,670,670,678.7399902,658.1099854,677.4000244,2217700
08/10/2015,667,667,671.8900146,654.4899902,669.4500122,1965400
09/10/2015,671.2399902,671.2399902,674.0900269,662.3599854,667.4899902,1606200
12/10/2015,676.4299927,676.4299927,677.9799805,667.2399902,669.1900024,1334200
13/10/2015,683.1699829,683.1699829,688.460022,673.1099854,674.2600098,2122300
14/10/2015,680.4099731,680.4099731,690.039978,678.9000244,683.7299805,1564600
15/10/2015,693.0200195,693.0200195,694.1599731,684.3900146,685.25,2357800
16/10/2015,695.3200073,695.3200073,696.2199707,689.0999756,695.4000244,1815800
19/10/2015,699.9500122,699.9500122,700.2399902,692.210022,694,1508600
20/10/2015,680,680,698,673.6799927,697.8900146,2621700
21/10/2015,671.7999878,671.7999878,684.9000244,670.7000122,683.210022,1597600
